ticker,cusip,rank,manager,entities,shares,value_usd,value_$m,pct_of_13f_value,prev_shares,delta_shares,delta_%,status
GOOGL,02079K305,3,Fidelity (FMR),1,236544675,68020786537,68021,5.49,231778762,4765913,2.1,increased
GOOGL,02079K305,4,State Street,1,226259132,65063075998,65063,5.25,228296955,-2037823,-0.9,decreased
GOOGL,02079K305,5,Geode,1,151888094,43547587937,43548,3.51,146193037,5695057,3.9,increased
GOOGL,02079K305,6,Capital Group,10,150838453,43370050055,43370,3.5,143357518,7480935,5.2,increased
GOOGL,02079K305,7,Morgan Stanley,2,120956710,34782312489,34782,2.81,121797456,-840746,-0.7,decreased
GOOGL,02079K305,8,UBS,2,69351775,19942796417,19943,1.61,63107799,6243976,9.9,increased
GOOGL,02079K305,9,Bank of America,2,68791282,19781621090,19782,1.6,69129249,-337967,-0.5,decreased
GOOGL,02079K305,10,Northern Trust,1,64991458,18688943662,18689,1.51,65140881,-149423,-0.2,decreased
GOOGL,02079K305,11,Goldman Sachs,1,57846836,16634436430,16634,1.34,52191937,5654899,10.8,increased
GOOGL,02079K305,12,Berkshire Hathaway,1,54249798,15600071913,15600,1.26,17846142,36403656,204.0,increased
GOOGL,02079K305,13,WELLINGTON MANAGEMENT,1,47620485,13693746665,13694,1.1,57286312,-9665827,-16.9,decreased
GOOGL,02079K305,14,Invesco,1,45843660,13182802971,13183,1.06,45399539,444121,1.0,increased
GOOGL,02079K305,15,Deutsche Bank,3,52792809,11940238765,11940,0.96,55346886,-2554077,-4.6,decreased
GOOGL,02079K305,16,Charles Schwab,2,40938014,11772135324,11772,0.95,39898299,1039715,2.6,increased
GOOGL,02079K305,17,BNY Mellon,2,40114785,11535407692,11535,0.93,41695569,-1580784,-3.8,decreased
GOOGL,02079K305,18,Fisher Asset,1,39050562,11229380046,11229,0.91,38106033,944529,2.5,increased
GOOGL,02079K305,19,Legal & General,1,37758891,10857946702,10858,0.88,37912752,-153861,-0.4,decreased
GOOGL,02079K305,20,HSBC HOLDINGS,1,34567949,10352029114,10352,0.84,0,34567949,,NEW
GOOGL,02079K305,21,Franklin,1,35954726,10339140445,10339,0.83,32976377,2978349,9.0,increased
GOOGL,02079K305,22,ROYAL BANK,1,35271164,10142577000,10143,0.82,37859732,-2588568,-6.8,decreased
GOOGL,02079K305,23,Employees Provident,1,36689234,10018733808,10019,0.81,0,36689234,,NEW
GOOGL,02079K305,24,Ameriprise,1,33034784,9501384793,9501,0.77,34950911,-1916127,-5.5,decreased
GOOGL,02079K305,25,Amundi,1,31745979,9128849504,9129,0.74,28171169,3574810,12.7,increased
MSFT,594918104,1,Vanguard,10,726349058,268872630852,268873,14.23,719084196,7264862,1.0,increased
MSFT,594918104,2,BlackRock,1,593328571,219632437522,219632,11.63,601897495,-8568924,-1.4,decreased
MSFT,594918104,3,State Street,1,306708289,113534207339,113534,6.01,306150608,557681,0.2,increased
MSFT,594918104,4,Capital Group,11,216616821,80172198191,80172,4.24,223113107,-6496286,-2.9,decreased
MSFT,594918104,5,Fidelity (FMR),2,190219146,70413421268,70413,3.73,200956579,-10737433,-5.3,decreased
MSFT,594918104,6,Geode,1,188501918,69604826731,69605,3.68,182618400,5883518,3.2,increased
MSFT,594918104,7,Morgan Stanley,2,124882142,46227623285,46228,2.45,121221822,3660320,3.0,increased
MSFT,594918104,8,UBS,2,96866844,35857199756,35857,1.9,88217051,8649793,9.8,increased
MSFT,594918104,9,Northern Trust,1,79696955,29501421832,29501,1.56,79779930,-82975,-0.1,decreased
MSFT,594918104,10,Bank of America,2,70797140,26206977146,26207,1.39,73148290,-2351150,-3.2,decreased
MSFT,594918104,11,Goldman Sachs,1,61217966,22661054452,22661,1.2,51360884,9857082,19.2,increased
MSFT,594918104,12,HSBC HOLDINGS,1,46107369,19579055887,19579,1.04,0,46107369,,NEW
MSFT,594918104,13,WELLINGTON MANAGEMENT,1,52742167,19523567959,19524,1.03,48909443,3832724,7.8,increased
MSFT,594918104,14,Charles Schwab,2,52539983,19448629697,19449,1.03,50954812,1585171,3.1,increased
MSFT,594918104,15,BNY Mellon,2,51658300,19122352793,19122,1.01,54439581,-2781281,-5.1,decreased
MSFT,594918104,16,Legal & General,1,50263312,18605970203,18606,0.98,51092621,-829309,-1.6,decreased
MSFT,594918104,17,Employees Provident,1,173180335,18046476309,18046,0.96,0,173180335,,NEW
MSFT,594918104,18,Deutsche Bank,3,51999217,16449985210,16450,0.87,52838289,-839072,-1.6,decreased
MSFT,594918104,19,"Nuveen, LLC",1,44121970,16332629730,16333,0.86,48160846,-4038876,-8.4,decreased
MSFT,594918104,20,Invesco,1,42295292,15656448155,15656,0.83,45252201,-2956909,-6.5,decreased
MSFT,594918104,21,Amundi,1,41675076,15426861810,15427,0.82,31860478,9814598,30.8,increased
MSFT,594918104,22,AllianceBernstein,1,31797302,15377811194,15378,0.81,36082677,-4285375,-11.9,decreased
MSFT,594918104,23,Franklin,1,38405107,14216417497,14216,0.75,39970877,-1565770,-3.9,decreased
MSFT,594918104,24,ROYAL BANK,1,37062879,13719566000,13720,0.73,37457336,-394457,-1.1,decreased
MSFT,594918104,25,Wells Fargo,1,33333314,12338993170,12339,0.65,33149320,183994,0.6,increased
META,30303M102,1,Vanguard,10,202519433,115867442999,115867,13.05,200322169,2197264,1.1,increased
META,30303M102,2,BlackRock,1,168843283,96600307735,96600,10.88,171505090,-2661807,-1.6,decreased
META,30303M102,3,Fidelity (FMR),3,116651637,66739901602,66740,7.52,122342017,-5690380,-4.7,decreased
META,30303M102,4,Capital Group,10,91225002,52181063736,52181,5.88,84558166,6666836,7.9,increased
META,30303M102,5,State Street,1,88523840,50647144579,50647,5.7,90841345,-2317505,-2.6,decreased
META,30303M102,6,Geode,1,54165192,30880025420,30880,3.48,52806712,1358480,2.6,increased
META,30303M102,7,Morgan Stanley,2,38079533,21786445866,21786,2.45,37553978,525555,1.4,increased
META,30303M102,8,Northern Trust,1,21979768,12575284666,12575,1.42,22133256,-153488,-0.7,decreased
META,30303M102,9,UBS,2,21914888,12538164873,12538,1.41,22370051,-455163,-2.0,decreased
META,30303M102,10,Bank of America,2,21045826,12040948367,12041,1.36,18371307,2674519,14.6,increased
META,30303M102,11,Goldman Sachs,1,18712930,10706228914,10706,1.21,15455635,3257295,21.1,increased
META,30303M102,12,HSBC HOLDINGS,1,14817750,9121926342,9122,1.03,0,14817750,,NEW
META,30303M102,13,Invesco,1,15603147,8927028504,8927,1.01,18205260,-2602113,-14.3,decreased
META,30303M102,14,Charles Schwab,2,15405498,8814491319,8814,0.99,15559641,-154143,-1.0,decreased
META,30303M102,15,AllianceBernstein,1,12678273,8368801225,8369,0.94,12847637,-169364,-1.3,decreased
META,30303M102,16,Legal & General,1,14290304,8175911629,8176,0.92,14334386,-44082,-0.3,decreased
META,30303M102,17,BNY Mellon,1,14153836,8097834293,8098,0.91,14874837,-721001,-4.8,decreased
META,30303M102,18,Deutsche Bank,3,14727223,7120393906,7120,0.8,12740601,1986622,15.6,increased
META,30303M102,19,Amundi,1,11858972,6784873063,6785,0.76,10043955,1815017,18.1,increased
META,30303M102,20,WELLINGTON MANAGEMENT,1,11689775,6688070970,6688,0.75,8774609,2915166,33.2,increased
META,30303M102,21,Employees Provident,1,18619392,6174686732,6175,0.7,0,18619392,,NEW
META,30303M102,22,"Sanders Capital,",1,10564799,6044438452,6044,0.68,10038174,526625,5.2,increased
META,30303M102,23,Dimensional,1,10429812,5964745306,5965,0.67,10024864,404948,4.0,increased
META,30303M102,24,"Nuveen, LLC",1,10395730,5947709037,5948,0.67,10665328,-269598,-2.5,decreased
META,30303M102,25,Newlands Management,1,9797414,5605394472,5605,0.63,9797414,0,0.0,unchanged
AMZN,023135106,1,Vanguard,10,858103414,178717198021,178717,13.07,846821971,11281443,1.3,increased
AMZN,023135106,2,BlackRock,1,735564992,153196120950,153196,11.2,734375864,1189128,0.2,increased
AMZN,023135106,3,State Street,1,390450321,81319088355,81319,5.95,388653121,1797200,0.5,increased
AMZN,023135106,4,Fidelity (FMR),2,358703324,74707141137,74707,5.46,331475544,27227780,8.2,increased
AMZN,023135106,5,Geode,1,233228057,48415245678,48415,3.54,225120994,8107063,3.6,increased
AMZN,023135106,6,Capital Group,10,215661471,44909512025,44910,3.28,196168208,19493263,9.9,increased
AMZN,023135106,7,Morgan Stanley,2,173928362,36224060947,36224,2.65,161583960,12344402,7.6,increased
AMZN,023135106,8,UBS,2,108278395,22551141327,22551,1.65,104446373,3832022,3.7,increased
AMZN,023135106,9,Northern Trust,1,95126682,19812034061,19812,1.45,94745484,381198,0.4,increased
AMZN,023135106,10,Bank of America,2,84229389,17542454787,17542,1.28,84197477,31912,0.0,increased
AMZN,023135106,11,Goldman Sachs,1,67695611,14098964982,14099,1.03,64164052,3531559,5.5,increased
AMZN,023135106,12,BNY Mellon,1,66930843,13939686617,13940,1.02,68468057,-1537214,-2.2,decreased
AMZN,023135106,13,Charles Schwab,2,66606606,13872157832,13872,1.01,64031279,2575327,4.0,increased
AMZN,023135106,14,WELLINGTON MANAGEMENT,1,62403604,12996798605,12997,0.95,66223281,-3819677,-5.8,decreased
AMZN,023135106,15,Amundi,1,61400503,12787882761,12788,0.94,53809551,7590952,14.1,increased
AMZN,023135106,16,AllianceBernstein,1,52639574,12150266470,12150,0.89,53928034,-1288460,-2.4,decreased
AMZN,023135106,17,"Nuveen, LLC",1,57301203,11934121549,11934,0.87,59129590,-1828387,-3.1,decreased
AMZN,023135106,18,Invesco,1,57143201,11901214504,11901,0.87,59682650,-2539449,-4.3,decreased
AMZN,023135106,19,Legal & General,1,55539603,11567233121,11567,0.85,55959088,-419485,-0.7,decreased
AMZN,023135106,20,Franklin,1,53726492,11189615987,11190,0.82,52044270,1682222,3.2,increased
AMZN,023135106,21,HSBC HOLDINGS,1,50348484,11100605720,11101,0.81,0,50348484,,NEW
AMZN,023135106,22,Deutsche Bank,3,59788808,10282141458,10282,0.75,60548024,-759216,-1.3,decreased
AMZN,023135106,23,ROYAL BANK,1,46526917,9690162000,9690,0.71,49589446,-3062529,-6.2,decreased
AMZN,023135106,24,JENNISON ASSOCIATES,1,41507558,8644779129,8645,0.63,43437204,-1929646,-4.4,decreased
AMZN,023135106,25,Dimensional,1,39029984,8126338233,8126,0.59,31724424,7305560,23.0,increased
TSLA,88160R101,1,Vanguard,10,261146824,97081331819,97081,17.45,259323278,1823546,0.7,increased
TSLA,88160R101,2,BlackRock,1,208095009,77359319545,77359,13.91,209563808,-1468799,-0.7,decreased
TSLA,88160R101,3,State Street,1,114695458,42638036512,42638,7.67,114842934,-147476,-0.1,decreased
TSLA,88160R101,4,Geode,1,68003110,25176995635,25177,4.53,65700975,2302135,3.5,increased
TSLA,88160R101,5,Capital Group,7,53281300,19805746217,19806,3.56,52408915,872385,1.7,increased
TSLA,88160R101,6,Morgan Stanley,2,39178240,14564511687,14565,2.62,35786315,3391925,9.5,increased
TSLA,88160R101,7,Fidelity (FMR),1,36027976,13393400259,13393,2.41,39484462,-3456486,-8.8,decreased
TSLA,88160R101,8,Goldman Sachs,1,29398294,10928815969,10929,1.96,27412984,1985310,7.2,increased
TSLA,88160R101,9,Northern Trust,1,25659609,9538959648,9539,1.71,25804654,-145045,-0.6,decreased
TSLA,88160R101,10,UBS,2,25222032,9376290399,9376,1.69,24243585,978447,4.0,increased
TSLA,88160R101,11,Amundi,1,22174884,8243513130,8244,1.48,19447743,2727141,14.0,increased
TSLA,88160R101,12,Legal & General,1,20200373,7509488664,7509,1.35,20181227,19146,0.1,increased
TSLA,88160R101,13,Charles Schwab,1,19943635,7414046312,7414,1.33,19730256,213379,1.1,increased
TSLA,88160R101,14,Bank of America,2,18964795,7050162365,7050,1.27,20757476,-1792681,-8.6,decreased
TSLA,88160R101,15,HSBC HOLDINGS,1,15434745,6359157278,6359,1.14,0,15434745,,NEW
TSLA,88160R101,16,Invesco,1,16937277,6296432795,6296,1.13,16980651,-43374,-0.3,decreased
TSLA,88160R101,17,BNY Mellon,1,14830253,5513146499,5513,0.99,15031161,-200908,-1.3,decreased
TSLA,88160R101,18,"Nuveen, LLC",1,13589023,5051719301,5052,0.91,13192551,396472,3.0,increased
TSLA,88160R101,19,LOOMIS SAYLES,1,12655011,4704500176,4705,0.85,12649650,5361,0.0,increased
TSLA,88160R101,20,BAMCO INC,1,11933509,4436281971,4436,0.8,11927475,6034,0.1,increased
TSLA,88160R101,21,Barclays,1,10505233,3905320372,3905,0.7,13568556,-3063323,-22.6,decreased
TSLA,88160R101,22,Deutsche Bank,3,11942474,3725051179,3725,0.67,11691081,251393,2.2,increased
TSLA,88160R101,23,JENNISON ASSOCIATES,1,9969940,3706325053,3706,0.67,10484848,-514908,-4.9,decreased
TSLA,88160R101,24,BNP PARIBAS,3,9586208,3563668002,3564,0.64,9851502,-265294,-2.7,decreased
TSLA,88160R101,25,WELLINGTON MANAGEMENT,1,9150977,3401875699,3402,0.61,10268577,-1117600,-10.9,decreased
CEG,21037T109,1,Vanguard,8,38278000,10689131502,10689,14.18,38679783,-401783,-1.0,decreased
CEG,21037T109,2,BlackRock,1,23509199,6564943814,6565,8.71,23349472,159727,0.7,increased
CEG,21037T109,3,"ECP ControlCo,",1,22043724,6155709927,6156,8.17,0,22043724,,NEW
CEG,21037T109,4,Capital Group,6,20808337,5818001341,5818,7.72,21452616,-644279,-3.0,decreased
CEG,21037T109,5,State Street,1,18796388,5248891349,5249,6.96,18485892,310496,1.7,increased
CEG,21037T109,6,Fidelity (FMR),1,10181644,2843224043,2843,3.77,14364768,-4183124,-29.1,decreased
CEG,21037T109,7,Morgan Stanley,2,8903821,2486392843,2486,3.3,8054637,849184,10.5,increased
CEG,21037T109,8,CANADA PENSION,1,7672648,2142586954,2143,2.84,141290,7531358,5330.4,increased
CEG,21037T109,9,Geode,1,7292001,2027507386,2028,2.69,7067038,224963,3.2,increased
CEG,21037T109,10,JENNISON ASSOCIATES,1,6604433,1844287887,1844,2.45,6980223,-375790,-5.4,decreased
CEG,21037T109,11,COATUE MANAGEMENT,1,4632475,1293618644,1294,1.72,5907174,-1274699,-21.6,decreased
CEG,21037T109,12,Wells Fargo,1,4324236,1207542875,1208,1.6,4158371,165865,4.0,increased
CEG,21037T109,13,UBS,2,3653750,1020309689,1020,1.35,3546701,107049,3.0,increased
CEG,21037T109,14,BNY Mellon,1,3632101,1014264238,1014,1.35,3355977,276124,8.2,increased
CEG,21037T109,15,Invesco,1,3619765,1010819281,1011,1.34,3636582,-16817,-0.5,decreased
CEG,21037T109,16,Bank of America,2,3163652,883449726,883,1.17,2861267,302385,10.6,increased
