ticker,fiscal_year,fiscal_period,revenue,cost_of_revenue,gross_profit,research_development_expense,sga_expense,sales_marketing_expense,general_administrative_expense,total_operating_expenses,stock_based_compensation,operating_income,interest_expense,interest_investment_income,other_nonoperating_income_expense,pretax_income,income_tax_expense,net_income,net_income_available_common,eps_basic,eps_diluted,dividends_per_share,weighted_avg_shares_basic,weighted_avg_shares_diluted,shares_outstanding,remaining_performance_obligation,cash_and_cash_equivalents,short_term_investments,long_term_investments,accounts_receivable_net,inventory_net,total_current_assets,property_plant_equipment_net,goodwill,intangible_assets_net,total_assets,accounts_payable,total_current_liabilities,short_term_debt,commercial_paper,long_term_debt,deferred_revenue_current,deferred_revenue_noncurrent,total_liabilities,total_stockholders_equity,net_cash_from_operating_activities,capital_expenditures,net_cash_from_investing_activities,net_cash_from_financing_activities,share_repurchases,depreciation_and_amortization,dividends_paid,acquisitions_net_of_cash,debt_issued,debt_repaid,gross_profit_derived,gross_margin,operating_margin,net_margin,effective_tax_rate,rd_intensity,sbc_pct_revenue,capex_intensity,free_cash_flow,fcf_margin,net_working_capital,total_debt,net_debt,tangible_book_value,book_value_per_share,inventory_days,days_sales_outstanding,roe,roa,roic,revenue_yoy_growth,eps_yoy_growth,diluted_share_count_change,deferred_revenue_total,segment_revenue_mix_pct
BE,2023,FY,1268782000,1135676000,197794000,155865000,,89961000,160875000,406701000,,-208907000,108300000,19885000,-2793000,-306043000,1894000,-302116000,,-1.42,-1.42,,212681000,212681000,,,664593000,,,340740000,502515000,1693167000,,,,2413677000,132078000,470422000,0,,846633000,,,1893007000,502078000,-372531000,83739000,-83725000,683349000,,62609000,0,,637127000,,133106000,0.15589281689052967,-0.16465161075740356,-0.23811497956307703,-0.006188672833556069,0.12284616269776841,,0.06599951764763372,-456270000,-0.3596126048446463,1222745000,846633000,182040000,502078000,,161.5055482373494,98.02322227143829,-0.6017312051115564,-0.12516836345542506,-0.3072567262893824,,,,0,
BE,2024,FY,1441394000,1069208000,404648000,148629000,,68005000,165105000,381739000,,22909000,62600000,25342000,15904000,-26357000,846000,-27203000,,-0.13,-0.13,,227365000,227365000,,,802851000,,,335841000,544656000,2044127000,,,,2657354000,92704000,636758000,114385000,,1014407000,,,2072138000,562471000,91998000,58852000,-58782000,175207000,,53048000,1468000,,402500000,,372186000,0.2807337896508519,0.015893641849487373,-0.01887270239781767,-0.03209773494707288,0.10311476251462126,,0.04082991881470299,33146000,0.022995794349081514,1407369000,1128792000,325941000,562471000,,185.93149321740952,85.04403723062535,-0.048363382289931395,-0.01023687472576104,0.02661414637567085,0.13604543570132616,-0.9084507042253522,0.06904236861778901,0,
BE,2025,FY,2001614000,1436594000,587400000,185993000,,130228000,198377000,514598000,,72802000,53888000,34070000,2151000,-84404000,2736000,-87140000,,-0.37,-0.37,,240402000,240402000,,,2454108000,,,371796000,643306000,3730567000,,,,4396711000,203129000,623832000,4153000,,2613726000,,,3603748000,768641000,113949000,56759000,-93119000,1508402000,,50566000,947000,,2500000000,,565020000,0.2934631752175994,0.03637164807999944,-0.043534867362038834,-0.03241552533055306,0.09292151233954199,,0.02835661621071795,57190000,0.028571942442448945,3106735000,2617879000,163771000,768641000,,163.4467984691569,67.7980569680268,-0.11336891995092638,-0.019819360426464237,0.08061019707502148,0.38866541695053536,1.846153846153846,0.05733952015481725,0,
AAOI,2023,FY,217646000,158725000,58921000,35975000,,11069000,53226000,100270000,11884000,-41349000,9428000,609000,-14690000,-56039000,9000,-56048000,,-1.75,-1.75,,31944259,31944259,,,45366000,,,48071000,63866000,172605000,200317000,,3628000,389186000,32892000,93358000,23197000,,0,1803000,,174317000,214869000,-7929000,9079000,-14761000,40578000,,20427000,,,,,58921000,0.27071942512152763,-0.18998281613261903,-0.2575190906334139,-0.00016060243758810828,0.16529134466059564,0.05460242779559468,0.04171452725986235,-17008000,-0.07814524503092177,79247000,23197000,-22169000,211241000,,146.86464010080326,80.6167584058517,-0.26084730696377795,-0.14401340233204687,-0.21461152439123943,,,,1803000,
AAOI,2024,FY,249365000,187565000,61800000,54955000,,18154000,59599000,132708000,14790000,-70908000,6826000,874000,-115823000,-186731000,2000,-186733000,,-4.5,-4.5,,41538551,41538551,,,67428000,,,116801000,88135000,301268000,219235000,,3680000,547032000,104969000,170069000,22369000,,4313000,0,,317920000,229112000,-69526000,43406000,-50697000,142179000,,20649000,,,,,61800000,0.24782948689671766,-0.28435425981994267,-0.7488340384576825,-1.0710594384435363e-05,0.2203797646020893,0.0593106490485834,0.17406612796503118,-112932000,-0.45287831090971065,131199000,26682000,-40746000,225432000,,171.5100098632474,170.96370781785737,-0.8150293306330528,-0.3413566299594905,-0.3764413931751304,0.14573665493507806,1.5714285714285714,0.3003447974798852,0,
AAOI,2025,FY,455715000,318802000,136913000,85507000,,30267000,75741000,191515000,11710000,-54602000,3497000,1792000,7898000,-46704000,-8476000,-38228000,,-0.64,-0.64,,60183987,60183987,,,206140000,,,244404000,183105000,675727000,376050000,,3623000,1168423000,143932000,257283000,33975000,,0,,,434505000,733918000,-174428000,179148000,-210604000,527941000,,27696000,,,,,136913000,0.300435579254578,-0.1198161131408885,-0.08388576193454242,0.18148338472079478,0.1876326212654839,0.025695884489209266,0.39311411737599156,-353576000,-0.775870884214915,418444000,33975000,-172165000,730295000,,209.63897654343447,195.75274019946676,-0.05208756291574808,-0.03271760312831911,-0.07955924441431583,0.8275018547109658,-0.8577777777777778,0.44887064067304605,0,
IREN,2023,FY,75509000,39419000,,,49004000,716000,,,14356000,-157241000,16207000,924000,-12196000,-169437000,2390000,-171827000,-171827000,-3.14,-3.14,0,54775771,54775771,,,,,,,,,,,,,,,,,,,,,305448000,5729000,116064000,-71467000,28558000,,30673000,,,,9432000,36090000,0.4779562701134964,-2.082414016872161,-2.275583043080957,-0.014105537751494656,,0.19012303169158642,1.5370882941106359,-110335000,-1.4612165437232647,,,,305448000,,,,-0.5625409234959797,,,,,,0,
IREN,2024,FY,187192000,87067000,,,70424000,2051000,,,23636000,-27234000,98000,5831000,1767000,-25467000,3453000,-28920000,-28920000,-0.29,-0.29,0,99640920,99640920,,,404601000,6530000,0,152000,,452385000,441371000,,,1152819000,27345000,51072000,,,,,,55346000,1097471000,52219000,141855000,-498466000,782626000,,50470000,,,,0,100125000,0.5348786272917646,-0.14548698662335996,-0.1544937817855464,-0.13558723053363175,,0.12626607974699774,0.7578048207188341,-89636000,-0.4788452497969999,401313000,,,1097471000,,,0.29638018718748665,-0.026351493570217346,-0.025086331852615197,,1.4790687202849992,-0.9076433121019108,0.8190692377474704,0,
IREN,2025,FY,501023000,158992000,,,136458000,2884000,,,42642000,17327000,11045000,7504000,76173000,93501000,6560000,86941000,86941000,0.41,0.39,0,214586767,223245651,,,564526000,0,211617000,1564000,,641173000,1930567000,,0,2940323000,81747000,149347000,,,,884000,0,1122835000,1817488000,245886000,573456000,-1380487000,1294735000,,181136000,,,,0,342031000,0.6826652668639963,0.03458324268546554,0.17352696383199973,0.07015967743660495,,0.08510986521576853,1.1445702093516665,-327570000,-0.6538023204523545,491826000,,,1817488000,,,1.1393888104937298,0.04783580414286091,0.02956852019318966,,1.6765192956963972,-2.3448275862068964,1.2405017035169887,884000,
CRWV,2023,FY,229000000,69000000,,21000000,,13000000,30000000,243000000,15000000,-14000000,27000000,,18000000,-558000000,36000000,-594000000,-594000000,-3.09,-3.09,,192000000,192000000,,,217000000,,,,,,,0,,,,,,,,,,,-597000000,1833000000,2943000000,-3148000000,1788000000,,103000000,,0,1404000000,2000000,160000000,0.6986899563318777,-0.0611353711790393,-2.593886462882096,-0.06451612903225806,0.09170305676855896,0.06550218340611354,12.851528384279476,-1110000000,-4.847161572052402,,,,-597000000,,,,0.9949748743718593,,,,,,0,
